Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
Prochlorococcus sp. AS9601,640069321,Bacteria,Prochlorococcus marinus sequencing - JCVI,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1669886,1988,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT9215,640753041,Bacteria,Prochlorococcus sp. MIT9215,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1738790,2059,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT9215,2606217559,Bacteria,Prochlorococcus sp. MIT9215,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1738790,1999,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT9301,640069322,Bacteria,Prochlorococcus marinus sequencing - JCVI,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1641879,1967,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT9515,640069324,Bacteria,Prochlorococcus marinus sequencing - JCVI,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1704176,1968,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus marinus marinus CCMP1375,637000213,Bacteria,Prochlorococcus marinus marinus CCMP1375,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1751080,1933,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT9211,641228501,Bacteria,Prochlorococcus marinus sequencing - JCVI,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1688963,1901,None,None,None,None,None,None,None,None,None,None,None
"Denitrovibrio acetiphilus N2460, DSM 12809",646564527,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Denitrovibrio,Denitrovibrio acetiphilus,Environmental,Terrestrial,Unclassified,Oil reservoir,Terrestrial Oil reservoir,3222077,3067,None,None,None,complete,complete,None,None,None,None,None,complete
"Calditerrivibrio nitroreducens Yu37-1, DSM 19672",649633026,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio,Calditerrivibrio nitroreducens,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2216552,2177,None,None,None,complete,incomplete,None,None,None,None,None,None
Deferribacter desulfuricans SSM1,646564525,Bacteria,"Deferribacter desulfuricans SSM1, DSM 14783",Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,Deferribacter desulfuricans,Environmental,Aquatic,Hydrothermal vents,Marine,Aquatic  marine,2542933,2425,None,None,None,None,complete,None,None,None,None,None,None
"Flexistipes sinusarabici MAS10, DSM 4947",2505679008,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,Flexistipes sinusarabici,Environmental,Aquatic,Unclassified,Marine,Aquatic  marine,2526590,2399,None,None,None,None,incomplete,None,None,None,None,None,None
Thermus oshimai JL-2,2508501045,Bacteria,"Sequencing Genomes of Environmentally Important Thermophiles in Great Basin hot springs: Thermocrinis ruber, three members of the genus Thermus, and a novel Chloroflexi",Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus oshimai,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2401329,2548,complete,complete,None,None,complete,None,None,None,complete,complete,None
"Thermus scotoductus SA-01, ATCC 700910",649633105,Bacteria,"Thermus scotoductus SA-01, ATCC 700910",Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus scotoductus,Engineered,Wastewater,Mine water,Industrial wastewater,engineered wastewater,2355186,2514,complete,None,None,None,complete,None,None,None,complete,complete,None
Thermus thermophilus JL-18,2508501108,Bacteria,"Sequencing Genomes of Environmentally Important Thermophiles in Great Basin hot springs: Thermocrinis ruber, three members of the genus Thermus, and a novel Chloroflexi",Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2311212,2508,complete,None,None,None,complete,None,None,None,complete,complete,None
Thermus thermophilus SG0.5JP17-16,2505679077,Bacteria,Compost Feedstock-Adapted Isolates,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,,,,,Uncategorized,2303227,2488,complete,None,None,None,complete,None,None,None,complete,complete,None
"Oceanithermus profundus 506, DSM 14977",649633077,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Oceanithermus,Oceanithermus profundus,Environmental,Aquatic,Hydrothermal vents,Marine,Aquatic  marine,2439291,2445,None,None,None,None,complete,None,None,None,complete,complete,None
"Marinithermus hydrothermalis T1, DSM 14884",2504643006,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Marinithermus,Marinithermus hydrothermalis,Environmental,Aquatic,Hydrothermal vents,Marine,Aquatic  marine,2269167,2310,complete,None,None,None,complete,None,None,None,complete,None,None
Deinococcus geothermalis DSM 11300,641228488,Bacteria,Deinococcus geothermalis Sequencing,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus geothermalis,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3247018,3148,None,complete,incomplete,None,None,None,None,None,None,None,None
Deinococcus deserti VCD115,643692020,Bacteria,Deinococcus deserti VCD115,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus deserti,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,3855329,3511,None,complete,incomplete,None,None,None,None,None,None,None,None
"Deinococcus gobiensis I-0, DSM 21396",2512564069,Bacteria,Deinococcus gobiensis I-0,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus gobiensis,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,4406036,4465,None,complete,incomplete,None,None,None,None,None,None,None,None
"Meiothermus silvanus VI-R2, DSM 9946",646564546,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,Meiothermus silvanus,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3721669,3720,None,complete,None,None,complete,None,None,None,None,None,None
Thermus thermophilus HB27,637000322,Bacteria,Thermus thermophilus HB27,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,Environmental,Aquatic,Hydrothermal vents,Marine,Aquatic  marine,2127482,2273,complete,None,None,None,None,None,None,None,None,None,None
Thermus sp. CCB_US3_UF1,2511231187,Bacteria,Thermus sp. CCB_US3_UF1,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus sp. CCB_US3_UF1,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2263488,2333,complete,None,None,None,None,None,None,None,None,None,None
Thermus thermophilus HB8,637000323,Bacteria,Thermus thermophilus HB8,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2116056,2302,complete,None,None,None,None,None,None,None,None,None,None
Thermus parvatiensis RL,2687453502,Bacteria,Thermus parvatiensis RL genome sequencing,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus parvatiensis,,,,,Uncategorized,2016098,2509,complete,None,None,None,incomplete,None,None,None,None,None,None
Deinococcus radiodurans ATCC BAA-816,637000092,Bacteria,Deinococcus radiodurans ATCC BAA-816,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,Engineered,Food production,Unclassified,Unclassified,Enigineered Food Production,3284156,3249,None,None,None,None,None,None,None,None,None,None,None
"Meiothermus ruber 21, DSM 1279",646564545,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,Meiothermus ruber,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3097457,3105,None,None,None,None,None,None,None,None,None,None,None
Meiothermus ruber DSM 1279,2554235408,Bacteria,Meiothermus ruber DSM 1279 Genome sequencing,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,Meiothermus ruber,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3098881,3109,None,None,None,None,None,None,None,None,None,None,None
"Truepera radiovictrix RQ-24, DSM 17093",646564586,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,Truepera radiovictrix,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3260398,3046,None,None,None,None,None,None,None,None,None,None,None
"Deinococcus maricopensis LB-34, DSM 21211",649633034,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus maricopensis,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,3498530,3367,None,None,None,None,None,None,None,None,None,None,None
"Deinococcus peraridilitoris KR-200, DSM 19664",2509276065,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus peraridilitoris,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,4513714,4466,None,None,None,None,None,None,None,None,None,None,None
"Deinococcus proteolyticus MRP, DSM 20540",649633035,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus proteolyticus,Host-associated,Animal,Fecal,Digestive system,animal Host,2886836,2799,None,None,None,None,None,None,None,None,None,None,None
Deinococcus radiodurans R1,2687453506,Bacteria,Deinococcus radiodurans R1 genome sequencing,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,,,,,Uncategorized,3344765,3277,None,None,None,None,None,None,None,None,None,None,None
Deinococcus soli N5,2636415714,Bacteria,Deinococcus soli strain:N5 genome sequencing,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus soli Cha et al. 2016,,,,,Uncategorized,3236984,3191,None,None,None,None,None,None,None,None,None,None,None
"Dictyoglomus thermophilum H-6-12, ATCC 35947",643348542,Bacteria,"Dictyoglomus thermophilum H-6-12, ATCC 35947",Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,1959987,1964,None,incomplete,None,None,None,None,None,None,None,None,None
Dictyoglomus turgidum DSM 6724,643348543,Bacteria,Obsidian Hot Spring Microbial Community Genomics,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus turgidum,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,1855560,1865,None,incomplete,None,None,None,None,None,None,None,None,None
Endomicrobium proavitum Rsa215,2639763091,Bacteria,Complete genome sequence of Endomicrobium proavitum Rsa215,Elusimicrobia,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium,Endomicrobium proavitum,,,,,Uncategorized,1588979,1398,None,None,None,complete,None,None,None,None,None,None,None
Elusimicrobium minutum Pei191,642555127,Bacteria,CSP_777133,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum,Host-associated,Insecta,Unclassified,Digestive system,Animal Host,1643562,1596,None,None,None,None,None,None,None,None,None,None,None
uncultured Termite group 1 bacterium Rs-D17,642555172,Bacteria,Candidatus Endomicrobium sp. Rs-D17,Elusimicrobia,unclassified,unclassified,unclassified,unclassified,uncultured Termite group 1 bacterium,Host-associated,Insecta,Unclassified,Digestive system,Animal Host,1148570,824,None,None,None,None,None,None,None,None,None,None,None
Halopiger xanaduensis SH-6,2506520034,Archaea,"Completing the genomic survey of haloarchaeal genomes (revised), part 1",Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,Halopiger xanaduensis,Environmental,Aquatic,Lentic,Freshwater,Aquatic Freshwater,4355268,4370,complete,None,incomplete,None,incomplete,None,None,None,complete,None,complete
Haloferax mediterranei R-4,2521172713,Archaea,"Haloferax mediterranei R-4, ATCC 33500",Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mediterranei,Environmental,Aquatic,Salt crystallizer ponds,Non-marine Saline and Alkaline,Aquatic Non -marine and Alkaline,3904707,3928,complete,None,incomplete,None,None,None,None,None,complete,None,complete
Haloferax mediterranei R-4,2576861458,Archaea,Haloferax mediterranei ATCC 33500,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mediterranei,Environmental,Aquatic,Salt crystallizer ponds,Non-marine Saline and Alkaline,Aquatic Non -marine and Alkaline,3906699,3782,complete,None,incomplete,None,None,None,None,None,complete,None,complete
Haloarcula hispanica N601,2558309064,Archaea,Haloarcula hispanica N601,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica,Engineered,Lab synthesis,,,Engineered lab Synthesis,3901494,4004,complete,None,incomplete,None,incomplete,None,None,None,complete,None,complete
Haloarcula hispanica CGMCC 1.2049,2511231068,Archaea,Haloarcula hispanica CGMCC 1.2049,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica,Environmental,Aquatic,Salt crystallizer ponds,Non-marine Saline and Alkaline,Aquatic Non -marine and Alkaline,3890005,3924,complete,None,incomplete,None,incomplete,None,None,None,complete,None,complete
Haloarcula marismortui ATCC 43049,638154503,Archaea,Haloarcula marismortui ATCC 43049,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Environmental,Aquatic,Unclassified,Marine,Aquatic  marine,4274642,4387,complete,None,incomplete,None,None,None,None,None,complete,None,complete
Haloarcula sp. CBA1115,2627853826,Archaea,Haloarcula sp. CBA1115 Genome sequencing,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sp. CBA1115,,,,,Uncategorized,4225046,4320,complete,None,incomplete,None,incomplete,None,None,None,complete,None,complete
Halobacterium hubeiense JI20-1,2675903501,Archaea,Genome sequence of Halobacterium hubeiense,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium hubeiense,,,,,Uncategorized,3130345,3371,complete,None,incomplete,None,None,None,None,None,complete,None,complete
"Halogeometricum borinquense PR3, DSM 11551",649633053,Archaea,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,Environmental,Aquatic,Salt crystallizer ponds,Non-marine Saline and Alkaline,Aquatic Non -marine and Alkaline,3944467,3993,complete,None,None,None,None,None,None,None,complete,None,complete
"Haloterrigena turkmenica VKM B-1734, DSM 5511",646311934,Archaea,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,5440782,5351,complete,None,incomplete,None,incomplete,None,None,None,complete,None,None
Natrinema pellirubrum 157,2509601048,Archaea,"Completing the genomic survey of haloarchaeal genomes (revised), part 2",Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema pellirubrum,Host-associated,Fish,Unclassified,Unclassified,animal Host,4354100,4461,complete,None,incomplete,None,incomplete,None,None,None,complete,None,None
Natrinema sp. J7-2,2517093029,Archaea,Natrinema sp. J7-2,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema sp. J7-2,Environmental,Terrestrial,,,Terrestrial,3793615,4360,complete,None,None,None,None,None,None,None,complete,None,None
"Haloferax volcanii DS2, ATCC 29605",646564536,Archaea,"Haloferax volcanii DS2, ATCC 29605",Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,Environmental,Aquatic,Unclassified,Sediment,Aquatic  sediment,4012900,4064,complete,incomplete,incomplete,None,None,None,None,None,complete,None,None
Haloferax gibbonsii ARA6 null replaces 76932,2728369535,Archaea,Haloferax gibbonsii ARA6 Complete Genome,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax gibbonsii,,,,,Uncategorized,3918454,3980,complete,None,incomplete,None,None,None,None,None,complete,None,None
"Halomicrobium mukohataei arg-2, DSM 12286",644736372,Archaea,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,Environmental,Aquatic,Intertidal zone,Marine,Aquatic  marine,3332349,3475,complete,None,None,None,None,None,None,None,complete,None,None
"Halovivax ruber XH-70, DSM 18193",2506783009,Archaea,"Completing the genomic survey of haloarchaeal genomes (revised), part 2",Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,Halovivax ruber,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,Aquatic  marine,3223876,3194,None,None,None,None,None,None,None,None,complete,None,None
